event_id,user_id,account_id,event_name,timestamp,plan_tier,region,acquisition_channel,account_segment,mrr,expansion_amount,session_duration,churned_flag,active_flag,current_mrr,prior_mrr
EVT-03-000001,USR-001502,ACC-00835,feature_used,2025-12-04T15:00:00.000000,Enterprise,Europe,Paid Search,SMB,499,0.0,33.0,0,1,499.0,499.0
EVT-03-000002,USR-000015,ACC-00008,session_started,2025-12-07T17:00:00.000000,Starter,Europe,Partner,Enterprise,49,0.0,14.9,0,1,49.0,49.0
EVT-03-000003,USR-000907,ACC-00497,subscription_started,2025-12-05T22:00:00.000000,Professional,Europe,Organic,SMB,149,0.0,0.0,0,1,149.0,0.0
EVT-03-000004,USR-001431,ACC-00796,plan_downgraded,2025-12-16T02:00:00.000000,Free,Europe,Referral,Mid-Market,0,0.0,0.0,0,1,0.0,0.0
EVT-03-000005,USR-001625,ACC-00911,invoice_paid,2025-12-05T06:00:00.000000,Starter,Latin America,Referral,SMB,49,0.0,0.0,0,1,49.0,49.0
EVT-03-000006,USR-000338,ACC-00182,feature_used,2025-12-05T08:00:00.000000,Professional,North America,Paid Search,SMB,149,0.0,6.0,0,1,149.0,149.0
EVT-03-000007,USR-001436,ACC-00798,subscription_started,2025-12-08T05:00:00.000000,Starter,Europe,Referral,Enterprise,49,0.0,0.0,0,1,49.0,0.0
EVT-03-000008,USR-001608,ACC-00898,plan_downgraded,2025-12-11T07:00:00.000000,Starter,North America,Referral,Mid-Market,49,0.0,0.0,0,1,0.0,49.0
EVT-03-000009,USR-001173,ACC-00646,signed_up,2025-12-06T22:00:00.000000,Professional,Asia Pacific,Paid Search,SMB,149,0.0,0.0,0,1,149.0,149.0
EVT-03-000010,USR-000878,ACC-00478,session_started,2025-12-06T18:00:00.000000,Professional,Asia Pacific,Referral,Mid-Market,149,0.0,11.6,0,1,149.0,149.0
EVT-03-000011,USR-001557,ACC-00868,invoice_paid,2025-12-19T09:00:00.000000,Starter,Europe,Partner,SMB,49,0.0,0.0,0,1,49.0,49.0
EVT-03-000012,USR-000440,ACC-00240,feature_used,2025-12-28T06:00:00.000000,Enterprise,North America,Referral,Enterprise,499,0.0,1.7,0,1,499.0,499.0
EVT-03-000013,USR-001671,ACC-00937,signed_up,2025-12-11T07:00:00.000000,Professional,Europe,Organic,Mid-Market,149,0.0,0.0,0,1,149.0,149.0
EVT-03-000014,USR-000810,ACC-00442,feature_used,2025-12-20T03:00:00.000000,Professional,North America,Organic,Enterprise,149,0.0,36.8,0,1,149.0,149.0
EVT-03-000015,USR-000104,ACC-00053,feature_used,2025-12-23T19:00:00.000000,Starter,Europe,Paid Search,SMB,49,0.0,14.2,0,1,49.0,49.0
EVT-03-000016,USR-000562,ACC-00307,subscription_started,2025-12-10T05:00:00.000000,Free,North America,Referral,SMB,0,0.0,0.0,0,1,0.0,0.0
EVT-03-000017,USR-000964,ACC-00528,session_started,2025-12-08T19:00:00.000000,Professional,North America,Paid Search,SMB,149,0.0,9.0,0,1,149.0,149.0
EVT-03-000018,USR-000494,ACC-00270,feature_used,2025-12-03T23:00:00.000000,Starter,Europe,Referral,Mid-Market,49,0.0,19.8,0,1,49.0,49.0
EVT-03-000019,USR-000347,ACC-00186,feature_used,2025-12-18T22:00:00.000000,Free,Asia Pacific,Referral,Mid-Market,0,0.0,22.4,0,1,0.0,0.0
EVT-03-000020,USR-000501,ACC-00273,invoice_paid,2025-12-22T23:00:00.000000,Professional,Europe,Organic,SMB,149,0.0,0.0,0,1,149.0,149.0
EVT-03-000021,USR-000885,ACC-00482,feature_used,2025-12-02T16:00:00.000000,Enterprise,Europe,Paid Search,SMB,499,0.0,12.9,0,1,499.0,499.0
EVT-03-000022,USR-000312,ACC-00166,signed_up,2025-12-15T06:00:00.000000,Enterprise,Europe,Paid Search,Mid-Market,499,0.0,0.0,0,1,499.0,499.0
